SMILES,Crippen_logp,NumHDonors,NumHAcceptors,NumRotatableBonds,TPSA,natoms,refractivity,HAS_PYR_H,HAS_MULTIPLE_PYR
O=Cc1cccc(-c2cccnc2)n1,1.9560999999999995,0,3,2,42.85,22,52.85550000000001,True,True
O=C(O)c1ccc(Oc2cccnc2)nc1,1.9671,1,5,3,72.31,24,55.507300000000015,True,True
Fc1nc(F)c(F)c(-c2cccnc2)c1F,2.7,0,2,1,25.78,20,47.3,True,True
Cc1c(Cl)ccc2c(C(=O)O)cc(-c3cccnc3)nc12,3.9568200000000022,1,4,3,63.08,32,81.68030000000003,True,True
Nc1cccc(-c2ccncc2)n1,1.7258,1,3,2,51.8,22,51.880400000000016,True,True
COc1ccc(C(=O)c2ccccn2)cn1,1.7162,0,4,4,52.08,26,58.45850000000002,True,True
CC(O)(C#CC(C)(O)c1cccnc1)c1cccnc1,1.5952,2,4,6,66.24000000000001,36,75.39160000000003,True,True
O=[N+]([O-])c1cc[n+]([O-])c(-c2ccc[n+]([O-])c2)c1,0.5285999999999998,0,4,2,97.02,24,56.45240000000002,True,True
Cc1ccnc(NCNc2cc(C)ccn2)c1,2.5749400000000007,2,4,6,49.84,33,70.06040000000003,True,True
Nc1ccc2c(C(F)(F)F)cc(C(F)(F)F)nc2n1,3.2496,1,3,1,51.8,24,53.95439999999999,True,True
C/C(=N\Nc1cccc2cccnc12)c1ccccn1,3.4659000000000013,1,4,4,50.17,34,81.81370000000004,True,True
OCc1cc(-c2cccnc2)cc(-c2cccnc2)c1,3.302900000000002,1,3,4,46.010000000000005,34,78.82680000000003,True,True
Nc1ccc(=O)n(Cc2cccnc2)c1,0.8738,1,4,3,60.91,26,58.453400000000016,True,True
Nc1ccc2nnc(-c3cccnc3)n2c1,1.3735,1,5,2,69.1,25,60.63040000000001,True,True
Fc1cnc(-c2ccncc2)c(F)c1,2.4218,0,2,1,25.78,20,47.384000000000015,True,True
O=Cc1cnc(-c2ccncc2)c(-c2ccncc2)c1,3.0181000000000013,0,4,3,55.74,31,76.08650000000003,True,True
O=C(O)c1cncc(-c2cccnc2)c1,1.8418,1,4,2,63.08,23,54.42730000000002,True,True
CCOC(=O)c1cc2ccncc2c(Cl)n1,2.4599,0,4,3,52.08,25,60.50450000000002,True,True
Fc1ncccc1-c1nc2cc(Br)ccn2n1,2.6929000000000007,0,4,1,43.08,23,63.87600000000001,True,True
OCc1ccc(-c2ccncc2)nc1Cl,2.2893,1,3,3,46.010000000000005,24,58.400800000000025,True,True
O=c1[nH]c2nccc(Cl)c2c2ccccc12,2.729700000000001,1,2,0,45.75,23,64.87970000000003,True,True
Cc1cc(-c2cccnc2)cnc1N,2.0342199999999995,1,3,3,51.8,25,56.61740000000002,True,True
Cc1cc2nc(Br)ccc2nc1O,2.4063200000000005,1,3,2,46.010000000000005,20,53.639800000000015,True,True
Oc1ccnc2ccc3ncccc3c12,2.488600000000001,1,3,1,46.010000000000005,23,58.70880000000003,True,True
COC(=O)c1cc2cnccc2c(Cl)n1,2.0698,0,4,2,52.08,22,55.88750000000002,True,True
Cc1nc(-c2ccccn2)ccc1C(=O)O,2.15022,1,4,3,63.08,26,59.164300000000026,True,True
Cc1cccnc1-c1cncc(CN)c1,1.91072,1,3,4,51.8,28,60.096400000000024,True,True
Cc1ccnc(Cc2ccnc(F)c2)c1,2.514920000000001,0,2,3,25.78,26,55.97500000000002,True,True
CCOC(=O)c1c[nH]c2c(ccc3cccnc32)c1=O,2.253,1,4,3,72.05000000000001,32,75.82620000000001,True,True
