SMILES,Crippen_logp,NumHDonors,NumHAcceptors,NumRotatableBonds,TPSA,natoms,refractivity,HAS_PYR_H,HAS_MULTIPLE_PYR,HAS_FRAGMENTS
Cl.O=C(O)c1cc(N2CCOCC2)ccn1,1.0382,1,5,2,62.66,29,61.47630000000002,True,False,True
Cl.Cl.Clc1ccc(CN2CCNCC2)cn1,1.9838,1,3,2,28.16,32,71.88970000000003,True,False,True
Cl.NC(CCc1ccccc1)c1ccncc1,3.136000000000002,1,2,5,38.91,34,73.17640000000003,True,False,True
Cl.Cl.NCc1cc2ccncc2[nH]1,1.8651999999999995,2,2,2,54.7,24,58.48110000000001,True,False,True
[Br-].c1ccc(CC[n+]2ccccc2)cc1,-0.7791999999999981,0,0,3,3.88,29,56.78300000000004,True,False,True
COc1ccc(CC(=O)O)nc1.Cl,1.1390999999999998,1,4,4,59.42,23,49.37680000000002,True,False,True
Cc1ccc[n+](/C=C/C(=O)c2ccc(F)cc2)c1.[Cl-],-0.2207799999999999,0,1,4,20.95,32,67.43450000000003,True,False,True
CC(C)OC(=O)c1cccnc1N1CCNCC1.Cl,1.4781999999999995,1,5,5,54.46,39,77.11920000000003,True,False,True
COc1ccc2cccnc2c1.Cl,2.665200000000001,0,2,2,22.12,23,55.54300000000003,True,False,True
Cl.NCc1ccncc1N,0.5443000000000002,2,3,3,64.92999999999999,20,43.78880000000001,True,False,True
Cl.Cl.c1cncc(OCC2CCNCC2)c1,2.3036000000000003,1,3,3,34.15,34,69.82170000000005,True,False,True
Cl.O=C(O)c1ccc2c(n1)CCNC2,0.8472999999999999,2,4,1,62.22,25,53.85500000000002,True,False,True
Cl.O=C(O)CCNC(=O)c1ncccc1O,0.4135,3,5,5,99.52,27,57.73580000000002,True,False,True
Cl.NCc1ccc2ccccc2n1,2.1153,1,2,2,38.91,24,56.882400000000025,True,False,True
Cl.Cl.Nc1cc2cn[nH]c2cn1,1.3836999999999997,2,3,1,67.59,20,52.79710000000001,True,False,True
Cc1cc2nccn2cc1Br.Cl,2.8270200000000014,0,2,1,17.3,20,54.877000000000024,True,False,True
O=C([O-])c1cc(O)c2ccccc2n1.[Na+],-2.6921,1,4,2,73.25,21,47.73830000000002,True,False,True
Cl.Cl.Cl.N[C@H]1CCN(Cc2ccncc2)C1,1.8800000000000003,1,3,3,42.15,34,73.85040000000004,True,False,True
Cl.O=[N+]([O-])c1cccnc1NCC1CCNCC1,1.8230999999999995,2,5,4,80.09,35,72.22280000000003,True,False,True
Cl.NCCCc1nnc2ccccn12,1.0424000000000002,1,4,4,56.209999999999994,27,57.61040000000002,True,False,True
Cc1cc[n+](Cc2ccccc2)cc1.[Cl-],-0.6651799999999992,0,0,3,3.88,29,56.918000000000035,True,False,True
CCOc1cccn2cc(CCN)nc12.Cl.Cl,2.0778,1,4,6,52.55,34,73.61540000000002,True,False,True
Cc1ccc(Oc2ccnc(C(=N)N)c2)cc1.Cl,2.8881900000000003,2,3,4,71.99,32,73.75410000000001,True,False,True
Cl.Cl.Nc1cc(OC(F)F)ccn1,2.1087999999999996,1,3,3,48.14,21,49.777400000000014,True,False,True
Cl.Cl.NCc1cccnc1N1CCCC1,1.9841,1,3,3,42.15,32,68.07140000000004,True,False,True
Cl.Cl.Nc1cnc2c(Br)cccc2c1,3.4231000000000016,1,2,1,38.91,23,68.35140000000001,True,False,True
Cl.Cl.O=C1CC[C@@H](CNCc2cccnc2)N1,1.2933999999999997,2,3,4,54.02,34,71.60440000000004,True,False,True
Cl.NC1CCCN(S(=O)(=O)c2ccccn2)C1,0.6152000000000002,1,4,3,76.28999999999999,33,67.45320000000002,True,False,True
Cl.N=C(N)c1cccc(-c2cccc(F)c2F)n1,2.7326700000000006,2,2,2,62.760000000000005,28,67.8531,True,False,True
Cl.Cl.NC(CO)c1ccccn1,0.9173000000000002,2,3,4,59.14,24,52.74720000000002,True,False,True
Cc1nccc2c1[nH]c1cc(O)ccc12.Cl.O.O,1.502520000000001,2,2,2,111.91,33,74.4771,True,False,True
COc1cc(C)c2nc(C(=O)[O-])cc(OC)c2c1.[Na+],-2.072079999999998,0,5,6,71.48,31,63.914500000000025,True,False,True
Cl.N#Cc1ccc(OC2CCC(N)CC2)nc1,2.0237799999999995,1,4,3,71.92999999999999,33,67.05940000000002,True,False,True
Cc1ccc2cccc(OCCN)c2n1.Cl.Cl.O,1.8996200000000003,1,3,5,79.64,36,79.1392,True,False,True
Cl.O=C(O)C1CCN(c2ccc3ccccc3n2)CC1,2.957600000000001,1,4,2,53.43,37,81.56380000000004,True,False,True
C=CB1OB(C=C)OB(C=C)O1.c1ccncc1,1.7715999999999998,0,4,3,40.58,32,75.34500000000003,True,False,True
Cc1cc(F)cnc1CN.Cl,1.40962,1,2,3,38.91,21,44.07140000000002,True,False,True
Cl.Cl.O=C(O)[C@@]1(Cc2cccnc2)CCCN1,1.6744999999999997,2,4,3,62.22,33,70.04050000000004,True,False,True
Cc1ccnc(NC2CCCNC2)c1.Cl,1.9757200000000004,2,3,3,36.95,33,65.73640000000003,True,False,True
Cl.Cl.NCc1cccc(F)n1,1.523,1,2,2,38.91,20,46.582400000000014,True,False,True
CCCCC(N)c1ccncc1.Cl,2.693400000000001,1,2,6,38.91,30,57.93840000000004,True,False,True
Cc1cncc(C)c1N.Cl,1.7024399999999995,1,2,3,38.91,21,45.371400000000015,True,False,True
Cl.Cl.Cl.Fc1ccc(N2CCNCC2)nc1,1.8957,1,3,1,28.16,31,71.02170000000004,True,False,True
Cl.Cl.Clc1ccnc(N2CCNCC2)c1,1.9882,1,3,1,28.160000000000004,29,68.82570000000003,True,False,True
Cc1cc(CN)nc2ccccc12.Cl.Cl,2.8455200000000014,1,2,3,38.91,29,68.86740000000002,True,False,True
Nc1ccc(Cl)c[n+]1/C=C/C(=O)c1ccccc1.[Cl-],-0.4327000000000001,1,2,4,46.97,31,72.16190000000002,True,False,True
Cl.O=C(O)Cc1ccc2cnccc2c1,2.2837000000000005,1,3,2,50.19,25,60.33080000000002,True,False,True
Cc1cc(C)c(C(=O)O)cn1.Cl,1.8184400000000005,1,3,3,50.19,22,47.918300000000016,True,False,True
Cl.Cl.c1cc(OC2CCNCC2)ccn1,2.055999999999999,1,3,2,34.15,31,65.25270000000003,True,False,True
COc1ccc2c(n1)CCC(N)C2.Cl,1.3279999999999998,1,3,3,48.14,29,58.03740000000003,True,False,True
CCC(C)NCc1cccnc1.Cl.Cl,2.8133000000000017,1,2,6,24.92,32,65.32570000000004,True,False,True
Cl.Cl.c1cncc(CC2CNC2)c1,1.6870999999999994,1,2,2,24.92,27,58.79670000000003,True,False,True
Cl.N#CC1(c2ccnc3ccccc23)CCNCC1,2.80138,1,3,1,48.71,35,78.38570000000003,True,False,True
Cl.Cl.O=c1[nH]c2ncccc2n1C1CCNCC1,1.4927,2,4,1,62.71,34,75.99040000000002,True,False,True
Cl.Cl.O=C(NC1CCCNC1)c1ccccn1,1.4069999999999998,2,3,2,54.02,34,72.09090000000003,True,False,True
Cl.NC(=O)c1cc2c([nH]c1=O)CCNC2,-0.4587000000000001,3,3,1,87.98,27,58.23930000000001,True,False,True
Cl.Cl.Nc1ccn2ccnc2c1,1.7600999999999996,1,3,1,43.32,21,54.100400000000015,True,False,True
Cl.Cl.NCc1nc(-c2cccnc2)no1,1.4339,1,5,3,77.83,25,59.91640000000002,True,False,True
Cl.Cl.c1cncc(CN2CCNCC2)c1,1.3303999999999994,1,3,2,28.160000000000004,32,66.87970000000003,True,False,True
Cc1cccc(C(C)N)n1.Cl.Cl,2.2533200000000004,1,2,4,38.91,26,56.07240000000003,True,False,True
Cl.Nc1cccc2cnccc12,2.2388000000000003,1,2,1,38.91,21,53.403400000000026,True,False,True
Cl.c1cncc(-c2noc(C3CCCNC3)n2)c1,2.0203999999999995,1,5,2,63.84,33,69.62170000000003,True,False,True
Cl.Cl.N[C@H]1CCN(C(=O)c2ccccn2)C1,1.0984000000000005,1,3,2,59.22,31,67.22890000000002,True,False,True
Cl.N#Cc1ccc(Oc2cccnc2)cc1,3.1673800000000014,0,3,2,45.91,25,62.71600000000003,True,False,True
Cl.Cl.NCc1cc(Br)cnc1Cl,2.7998000000000003,1,2,2,38.91,20,59.33440000000001,True,False,True
COc1ccnc(C(=O)O)c1.Cl,1.2102,1,4,3,59.42,20,44.99630000000001,True,False,True
CCC(N)CSc1ccccn1.Cl,2.3328,1,3,6,38.91,28,60.47540000000003,True,False,True
Cc1cc(O)cc(C2CCCN2)n1.Cl.Cl,2.3637200000000007,2,3,3,45.15,31,65.11250000000004,True,False,True
Cc1ccc(B(O)O)c2nccn12.Cl,-0.2556800000000002,2,4,4,57.760000000000005,24,57.00260000000002,True,False,True
Cc1ccc2c(B(O)O)cccc2n1.O,-0.6016800000000001,2,3,4,84.85,27,59.91940000000003,True,False,True
CS(=O)(=O)c1ccncc1N.Cl,0.4890999999999999,1,4,3,73.05,21,49.00720000000002,True,False,True
