SMILES,Crippen_logp,NumHDonors,NumHAcceptors,NumRotatableBonds,TPSA,natoms,refractivity,HAS_PYR_H,HAS_MULTIPLE_PYR,HAS_FRAGMENTS,HAS_BAD_NITROGEN,MOL_WT,HAS_SULFONYL_HALIDE
Cc1cc(O)nc2ccc(S(=O)(=O)Cl)cc12,2.1763199999999996,1,4,3,67.26,24,61.18360000000002,True,False,False,False,257.698,True
COc1ccc2nc(C)ccc2c1S(=O)(=O)Cl,2.4793200000000004,0,4,4,56.26,27,66.07080000000003,True,False,False,False,271.7249999999998,True
CCCOc1ccc(S(=O)(=O)Cl)c2cccnc12,2.951100000000001,0,4,5,56.260000000000005,30,70.56780000000003,True,False,False,False,285.7519999999998,True
O=S(=O)(Cl)c1ccc(O)c2ncccc12,1.8679,1,4,2,67.26,21,56.44660000000001,True,False,False,False,243.671,True
Cc1cc(C)c(C(C)S(=O)(=O)Cl)c(C)n1,2.636460000000002,0,3,6,47.03,29,61.63580000000003,True,False,False,False,247.7470000000001,True
O=S(=O)(Cl)c1cnc2ccc(F)cc2c1,2.3014,0,3,1,47.03,20,54.73980000000001,True,False,False,False,245.662,True
COC(=O)c1cc(S(=O)(=O)Cl)ccn1,0.7957,0,5,3,73.33000000000001,20,48.61530000000002,True,False,False,False,235.64800000000005,True
CCCc1sc2ncccc2c1S(=O)(=O)Cl,3.176300000000002,0,4,4,47.03,26,66.65380000000003,True,False,False,False,275.7819999999998,True
CC(C)(C)Oc1ccc(S(=O)(=O)Cl)cn1,2.1864,0,4,2,56.260000000000005,27,57.65680000000003,True,False,False,False,249.71900000000008,True
Cc1cc2c(S(=O)(=O)Cl)cccc2cn1,2.47072,0,3,2,47.03,23,59.51880000000002,True,False,False,False,241.69900000000004,True
Cc1nn(C)c2ncc(S(=O)(=O)Cl)cc12,1.20422,0,5,3,64.85,23,56.28480000000003,True,False,False,False,245.6910000000001,True
Cc1cc(=O)[nH]c2ccc(S(=O)(=O)Cl)cc12,1.76402,1,3,2,67.0,24,62.344500000000025,True,False,False,False,257.698,True
O=S(=O)(Cl)c1cccc2cncc(Cl)c12,2.8157000000000005,0,3,1,47.03,20,59.79180000000001,True,False,False,False,262.1169999999999,True
Cc1cncc2cccc(S(=O)(=O)Cl)c12,2.470720000000001,0,3,2,47.03,23,59.51880000000003,True,False,False,False,241.69900000000004,True
Cc1ccc2ncc(S(=O)(=O)Cl)cc2c1,2.47072,0,3,2,47.03,23,59.51880000000002,True,False,False,False,241.69900000000004,True
COC(=O)c1ccc(S(=O)(=O)Cl)cn1,0.7957000000000001,0,5,3,73.33000000000001,20,48.61530000000002,True,False,False,False,235.64800000000005,True
Cc1ccc2cccc(S(=O)(=O)Cl)c2n1,2.470720000000001,0,3,2,47.03,23,59.51880000000003,True,False,False,False,241.69900000000004,True
