SMILES,Crippen_logp,NumHDonors,NumHAcceptors,NumRotatableBonds,TPSA,natoms,refractivity,HAS_PYR_H,HAS_MULTIPLE_PYR,HAS_FRAGMENTS,HAS_BAD_NITROGEN
c1cc(-n2ccnc2)nc(-n2ccnc2)c1,1.4529999999999996,0,5,2,48.53,25,58.48100000000002,True,False,False,True
O=C(c1ccoc1)N1CCc2nc3ccccn3c(=O)c2C1,1.486,0,5,1,67.82,35,78.61450000000002,True,False,False,True
CCOc1ccc(-n2c(S)nnc2-c2cccnc2)cc1,3.0167,1,6,6,52.83,35,83.01100000000001,True,False,False,True
COC(=O)c1ccc2ncc(Cl)n2c1,1.7742999999999998,0,4,2,43.599999999999994,21,51.54150000000002,True,False,False,True
COc1ccccc1-n1cccc(C(=O)O)c1=O,1.5443,1,5,4,68.53,29,65.55030000000002,True,False,False,True
c1ccn2c(C3CCCCC3)ncc2c1,3.3820000000000023,0,2,1,17.3,31,61.01800000000003,True,False,False,True
Cc1cc(C)c2c(-n3cccc3)nn(CC#N)c2n1,2.3624199999999993,0,5,4,59.43,32,71.94200000000004,True,False,False,True
CCn1c2nc(C)cc(C)c2c(=O)n2c(C(=O)O)nnc12,0.7741399999999998,1,8,5,102.38,34,74.65530000000001,True,False,False,True
Cc1ccc(-c2cn3cccc(C(=O)O)c3n2)cc1,3.0079200000000004,1,4,3,54.6,31,72.32430000000004,True,False,False,True
O=C(O)Cc1c(-c2ccc(Cl)cc2)nc2ccccn12,3.2818000000000014,1,4,3,54.599999999999994,31,76.97780000000003,True,False,False,True
CCOC(=O)c1nc2ccc(Cl)cn2c1Cl,2.817800000000001,0,4,3,43.599999999999994,24,61.16850000000002,True,False,False,True
Cc1ccc(C)n1-c1ncccc1O,2.19474,1,3,4,38.05,26,54.70280000000003,True,False,False,True
CCc1nnc2c(CCl)cccn12,2.0305,0,3,3,30.19,23,51.922000000000025,True,False,False,True
O=c1c(Cl)nc2cccnc2n1-c1ccc(Cl)cc1,3.0875000000000012,0,4,1,47.78,26,75.155,True,False,False,True
Cc1ccc(C(=O)O)c(=O)n1-c1cccc(C(F)(F)F)c1,2.862920000000001,1,4,3,59.3,31,68.73730000000002,True,False,False,True
CNCc1cnc2ccccn12,1.0537,1,3,3,29.33,23,47.95570000000002,True,False,False,True
O=C(O)/C=C/c1nc(C(F)(F)F)n2ccccc12,2.4509000000000007,1,4,2,54.599999999999994,25,56.86380000000002,True,False,False,True
Cc1cc2n[nH]c(=S)n2c2c(C)cccc12,3.161930000000001,1,3,2,33.09,27,67.35670000000002,True,False,False,True
Cc1nc2c(C(=O)O)cccn2c1N,0.92312,2,5,3,80.61999999999999,23,51.300700000000006,True,False,False,True
CCOC(=O)c1cc(Br)cn2c(C#N)cnc12,2.14518,0,5,3,67.39,25,63.56350000000002,True,False,False,True
COc1ccc(-n2cnnc2S)cn1,0.9595999999999998,1,6,4,52.83,22,52.95800000000002,True,False,False,True
c1cnc(N2CCNCC2)c(-n2cccc2)c1,1.2818999999999996,1,4,2,33.09,33,68.64670000000002,True,False,False,True
Nc1cccn2c(C3CCC3)nnc12,1.579,1,4,2,56.21,26,53.99140000000001,True,False,False,True
Cc1ccc(C)n1-c1ccnc(C(=O)CCl)c1,2.9106400000000017,0,3,5,34.89,30,68.08850000000002,True,False,False,True
COc1ccc2c(C)cc3nnc(S)n3c2c1,2.488220000000001,1,5,4,39.42,28,69.034,True,False,False,True
COC(=N)c1nc(-c2ccccc2)n2ccccc12,2.9730700000000017,1,4,3,50.379999999999995,32,74.46570000000003,True,False,False,True
